applicant_id,application_date,credit_score,income,age,employment_status,loan_amount,dti_ratio,experiment_group,funnel_stage,decision_outcome,funding_status,defaulted,approved_date,funded_date,funded_amount
APP-00001,2024-11-28,709,42330,48,Unemployed,22195,0.1935407273036955,B,Documents Uploaded,N/A,Not Funded,0,,,
APP-00002,2024-12-29,633,42190,47,Employed,23066,0.2235043674199533,A,Underwriting Review,Rejected,Not Funded,0,,,
APP-00003,2024-11-15,727,45752,32,Employed,15782,0.05,B,Funded,Approved,Funded,1,2024-11-16,2024-11-17,14595.0
APP-00004,2025-03-26,832,70408,50,Employed,22432,0.05,B,Documents Uploaded,N/A,Not Funded,0,,,
APP-00005,2024-11-21,621,71043,26,Self-employed,30244,0.1783255025474246,A,Underwriting Review,Rejected,Not Funded,0,,,
APP-00006,2025-04-20,621,31679,36,Employed,5578,0.2060237708051022,A,Funded,Approved,Funded,1,2025-04-23,2025-04-24,5399.0
APP-00007,2025-03-01,839,88916,20,Self-employed,40998,0.05,B,Documents Uploaded,N/A,Not Funded,0,,,
APP-00008,2025-04-22,742,43566,62,Employed,21871,0.05,A,Application Started,N/A,Not Funded,0,,,
APP-00009,2024-12-05,593,27347,41,Unemployed,8993,0.14030843920273783,A,Underwriting Review,Rejected,Not Funded,0,,,
APP-00010,2025-01-20,715,72871,70,Employed,16656,0.05,B,Funded,Approved,Funded,0,2025-01-22,2025-01-24,15017.0
APP-00011,2025-03-04,594,62838,53,Employed,10240,0.15465038291207756,A,Underwriting Review,Rejected,Not Funded,0,,,
APP-00012,2025-02-28,594,61428,49,Employed,26829,0.21260506336282745,A,Underwriting Review,Rejected,Not Funded,0,,,
APP-00013,2025-02-22,679,26584,36,Employed,7205,0.1726954922665626,B,Documents Uploaded,N/A,Not Funded,0,,,
APP-00014,2025-01-06,420,17680,31,Employed,6342,0.7161338586771868,B,Documents Uploaded,N/A,Not Funded,0,,,
APP-00015,2025-05-02,443,45759,50,Employed,14819,0.551883313031985,B,Underwriting Review,Rejected,Not Funded,0,,,
APP-00016,2025-02-13,582,44030,43,Self-employed,10069,0.445029508426463,B,Documents Uploaded,N/A,Not Funded,0,,,
APP-00017,2024-11-07,528,16326,27,Self-employed,6183,0.2428866472464476,B,Documents Uploaded,N/A,Not Funded,0,,,
APP-00018,2025-01-02,687,62866,25,Employed,22431,0.05,A,Approved,Approved,Not Funded,0,,,
APP-00019,2025-03-12,541,24803,32,Employed,10686,0.41896379133209977,B,Underwriting Review,Rejected,Not Funded,0,,,
APP-00020,2025-01-17,480,68890,65,Employed,18142,0.37256835901728597,B,Underwriting Review,Rejected,Not Funded,0,,,
APP-00021,2025-03-22,825,98396,70,Employed,24263,0.05329767001943049,A,Documents Uploaded,N/A,Not Funded,0,,,
APP-00022,2025-02-19,622,59281,46,Self-employed,30615,0.06515496631224368,A,Application Started,N/A,Not Funded,0,,,
APP-00023,2025-04-24,658,78020,45,Employed,36356,0.2497865648151463,A,Documents Uploaded,N/A,Not Funded,0,,,
APP-00024,2025-01-23,479,34195,39,Employed,17011,0.34996257703851624,A,Underwriting Review,Rejected,Not Funded,0,,,
APP-00025,2025-03-04,584,58708,32,Employed,12063,0.17586485232975957,B,Underwriting Review,Rejected,Not Funded,0,,,
APP-00026,2025-03-31,663,80854,60,Employed,20279,0.09123663515249825,B,Funded,Approved,Funded,0,2025-04-03,2025-04-05,17790.0
APP-00027,2025-02-27,511,41009,66,Employed,16772,0.4098150125871816,A,Underwriting Review,Rejected,Not Funded,0,,,
APP-00028,2025-04-22,695,49396,33,Employed,26463,0.2223711974516584,B,Funded,Approved,Funded,0,2025-04-27,2025-04-30,24857.0
APP-00029,2024-12-04,577,15000,43,Employed,8271,0.19878787634187137,B,Application Started,N/A,Not Funded,0,,,
APP-00030,2025-04-30,614,44737,38,Employed,23458,0.25914647426349935,A,Underwriting Review,Rejected,Not Funded,0,,,
APP-00031,2024-12-07,577,59168,38,Unemployed,10030,0.3048724591499767,B,Underwriting Review,Rejected,Not Funded,0,,,
APP-00032,2025-02-12,850,88912,58,Employed,46180,0.05,A,Funded,Approved,Funded,1,2025-02-13,2025-02-15,46180.0
APP-00033,2025-04-14,648,59887,28,Self-employed,33212,0.313037278992473,A,Underwriting Review,Rejected,Not Funded,0,,,
APP-00034,2025-04-15,523,26474,49,Employed,4647,0.5929332080909069,A,Documents Uploaded,N/A,Not Funded,0,,,
APP-00035,2025-01-24,748,20263,52,Employed,6835,0.05,A,Documents Uploaded,N/A,Not Funded,0,,,
APP-00036,2025-03-19,503,25395,42,Employed,9941,0.5652514849490278,B,Underwriting Review,Rejected,Not Funded,0,,,
APP-00037,2025-01-21,675,46413,54,Employed,11823,0.14881115625920097,B,Funded,Approved,Funded,0,2025-01-22,2025-01-23,11823.0
APP-00038,2024-12-18,414,20141,45,Employed,7704,0.2932798191882452,B,Underwriting Review,Rejected,Not Funded,0,,,
APP-00039,2025-01-28,490,46371,58,Employed,25442,0.26492732709290917,B,Application Started,N/A,Not Funded,0,,,
APP-00040,2025-02-25,673,92013,25,Employed,49698,0.20364401803243204,A,Underwriting Review,Rejected,Not Funded,0,,,
APP-00041,2024-12-05,738,61270,39,Employed,35103,0.16106410678882105,B,Funded,Approved,Funded,0,2024-12-07,2024-12-09,31724.0
APP-00042,2025-01-01,670,47665,43,Employed,17533,0.05,A,Funded,Approved,Funded,0,2025-01-04,2025-01-05,16073.0
APP-00043,2025-01-19,636,43415,18,Employed,14533,0.06541736150726558,B,Funded,Approved,Funded,0,2025-01-21,2025-01-23,14242.0
APP-00044,2025-03-10,613,48787,30,Employed,21934,0.12878250147116305,A,Documents Uploaded,N/A,Not Funded,0,,,
APP-00045,2025-01-25,472,15634,34,Self-employed,5277,0.25549479671529046,B,Documents Uploaded,N/A,Not Funded,0,,,
APP-00046,2025-02-26,563,43703,55,Self-employed,7380,0.05,B,Underwriting Review,Rejected,Not Funded,0,,,
APP-00047,2025-01-16,594,53416,35,Self-employed,25317,0.05,A,Underwriting Review,Rejected,Not Funded,0,,,
APP-00048,2025-03-05,776,66793,34,Employed,18464,0.05,A,Documents Uploaded,N/A,Not Funded,0,,,
APP-00049,2025-01-28,691,63250,53,Employed,10884,0.14906189344395493,B,Funded,Approved,Funded,0,2025-01-29,2025-01-31,10175.0
APP-00050,2024-12-14,438,37474,24,Self-employed,5968,0.5258378410137976,A,Application Started,N/A,Not Funded,0,,,
APP-00051,2025-03-27,688,18362,19,Employed,10450,0.05,A,Funded,Approved,Funded,0,2025-03-30,2025-04-02,10190.0
APP-00052,2025-02-18,603,58037,39,Self-employed,15288,0.05,A,Underwriting Review,Rejected,Not Funded,0,,,
APP-00053,2025-02-11,568,28379,26,Employed,9976,0.18581070953434653,A,Application Started,N/A,Not Funded,0,,,
APP-00054,2025-01-20,723,35383,27,Employed,20442,0.07175136793328571,B,Funded,Approved,Funded,0,2025-01-23,2025-01-24,19944.0
APP-00055,2024-11-20,773,40210,50,Self-employed,14490,0.1600672400595197,B,Funded,Approved,Funded,0,2024-11-21,2024-11-25,13861.0
APP-00056,2025-02-18,761,69770,54,Employed,12933,0.1314083103785329,A,Documents Uploaded,N/A,Not Funded,0,,,
APP-00057,2024-11-17,549,35448,53,Employed,14121,0.23357577432794055,B,Documents Uploaded,N/A,Not Funded,0,,,
APP-00058,2024-12-19,612,15000,57,Unemployed,2845,0.26402329569266464,A,Documents Uploaded,N/A,Not Funded,0,,,
APP-00059,2024-12-28,689,63460,58,Employed,12234,0.05,B,Funded,Approved,Funded,0,2024-12-31,2025-01-02,11164.0
APP-00060,2025-01-30,767,32907,18,Employed,17544,0.05,A,Funded,Approved,Funded,0,2025-02-02,2025-02-03,14800.0
APP-00061,2025-03-24,592,46996,49,Unemployed,13170,0.2256365060449685,B,Application Started,N/A,Not Funded,0,,,
APP-00062,2024-12-28,627,52469,37,Employed,23894,0.4018953434741982,A,Underwriting Review,Rejected,Not Funded,0,,,
APP-00063,2025-03-20,517,54411,35,Employed,20622,0.40278326257381863,A,Underwriting Review,Rejected,Not Funded,0,,,
APP-00064,2025-01-26,506,71233,50,Employed,17811,0.22688224309959457,A,Underwriting Review,Rejected,Not Funded,0,,,
APP-00065,2024-12-24,747,32406,23,Employed,12412,0.05,A,Approved,Approved,Not Funded,0,,,
APP-00066,2024-11-08,812,65150,22,Employed,11795,0.05,B,Funded,Approved,Funded,0,2024-11-10,2024-11-11,11576.0
APP-00067,2024-12-17,641,43573,51,Employed,13344,0.05,A,Funded,Approved,Funded,0,2024-12-20,2024-12-21,11798.0
APP-00068,2025-01-25,770,70674,49,Employed,27229,0.05,A,Documents Uploaded,N/A,Not Funded,0,,,
APP-00069,2025-03-09,693,58613,45,Employed,14816,0.08720111855274552,A,Underwriting Review,Rejected,Not Funded,0,,,
APP-00070,2025-05-01,572,35149,33,Employed,15714,0.3299790318449557,A,Underwriting Review,Rejected,Not Funded,0,,,
APP-00071,2024-12-11,693,45481,52,Employed,7882,0.20056880282232759,B,Approved,Approved,Not Funded,0,,,
APP-00072,2025-04-26,834,46070,52,Employed,16961,0.05,B,Funded,Approved,Funded,0,2025-04-28,2025-04-29,15885.0
APP-00073,2025-03-03,645,69257,45,Employed,32671,0.05,B,Documents Uploaded,N/A,Not Funded,0,,,
APP-00074,2025-03-09,837,77884,29,Employed,26751,0.05,B,Funded,Approved,Funded,0,2025-03-10,2025-03-13,23542.0
APP-00075,2025-03-23,335,36855,38,Employed,20033,0.46548426146008715,B,Underwriting Review,Rejected,Not Funded,0,,,
APP-00076,2024-11-17,748,53592,54,Employed,23285,0.1378437172952333,B,Funded,Approved,Funded,0,2024-11-20,2024-11-21,21621.0
APP-00077,2025-03-05,660,37863,59,Employed,22010,0.2427785956611987,A,Funded,Approved,Funded,1,2025-03-07,2025-03-08,20623.0
APP-00078,2024-12-18,614,24833,40,Employed,6899,0.17008425903578483,B,Underwriting Review,Rejected,Not Funded,0,,,
APP-00079,2024-12-07,661,58278,41,Employed,33361,0.5027095614650309,B,Underwriting Review,Rejected,Not Funded,0,,,
APP-00080,2025-01-22,411,15000,42,Self-employed,6346,0.6954851377598534,B,Application Started,N/A,Not Funded,0,,,
APP-00081,2025-02-14,623,84273,47,Employed,40900,0.3822379096777857,B,Funded,Approved,Funded,0,2025-02-16,2025-02-17,36615.0
APP-00082,2024-12-29,692,28047,37,Unemployed,15593,0.21509872318889484,A,Underwriting Review,Rejected,Not Funded,0,,,
APP-00083,2025-02-14,827,73173,18,Unemployed,29125,0.05,A,Underwriting Review,Rejected,Not Funded,0,,,
APP-00084,2025-02-04,587,75037,58,Self-employed,40368,0.299086405416661,B,Underwriting Review,Rejected,Not Funded,0,,,
APP-00085,2025-01-25,552,52181,65,Employed,20546,0.05,A,Application Started,N/A,Not Funded,0,,,
APP-00086,2024-11-14,589,47413,36,Self-employed,19896,0.08105734648079374,A,Underwriting Review,Rejected,Not Funded,0,,,
APP-00087,2025-03-05,759,41530,31,Self-employed,14547,0.05,A,Funded,Approved,Funded,0,2025-03-07,2025-03-09,13391.0
APP-00088,2025-01-07,689,26264,42,Self-employed,5660,0.1329308743116361,A,Underwriting Review,Rejected,Not Funded,0,,,
APP-00089,2024-11-25,586,59001,41,Employed,23545,0.22383152157361105,B,Underwriting Review,Rejected,Not Funded,0,,,
APP-00090,2025-02-24,711,86222,55,Employed,50858,0.12709151718164965,A,Application Started,N/A,Not Funded,0,,,
APP-00091,2025-01-30,661,42323,44,Employed,21340,0.05,B,Funded,Approved,Funded,0,2025-02-02,2025-02-04,18560.0
APP-00092,2024-11-30,766,38818,34,Employed,18880,0.09334964542289999,B,Approved,Approved,Not Funded,0,,,
APP-00093,2025-01-25,565,15000,28,Employed,6592,0.2780706333717993,A,Underwriting Review,Rejected,Not Funded,0,,,
APP-00094,2025-02-12,610,26384,54,Employed,8088,0.18438250618625418,A,Underwriting Review,Rejected,Not Funded,0,,,
APP-00095,2025-01-22,602,42926,51,Employed,9715,0.361596805179039,B,Underwriting Review,Rejected,Not Funded,0,,,
APP-00096,2025-03-16,474,64382,56,Self-employed,16162,0.2256699924945665,B,Underwriting Review,Rejected,Not Funded,0,,,
APP-00097,2025-03-07,685,66962,32,Employed,10234,0.08321577210580117,B,Funded,Approved,Funded,0,2025-03-10,2025-03-11,9500.0
